Index,Player Name,Team,Salary,Position,Age,GP,MP,FG,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,TRB,AST,STL,BLK,TOV,FOUL,PTS,PER,TS%,USG%,WS,BPM,VORP
10,Klay Thompson,GSW,40600080,SF,32,69,33.0,7.9,0.436,4.4,0.412,3.6,0.47,0.556,1.7,0.879,4.1,2.4,0.7,0.4,1.8,1.9,21.9,14.7,0.576,26.4,3.1,-0.3,1.0
11,Kyrie Irving,BRK/DAL,38917057,PG-SG,30,60,37.4,9.9,0.494,3.1,0.379,6.8,0.574,0.572,4.1,0.905,5.1,5.5,1.1,0.8,2.1,2.8,27.1,22.4,0.613,28.9,7.4,4.1,3.5
12,Rudy Gobert,MIN,38172414,C,30,70,30.7,5.1,0.659,0.0,0.0,5.1,0.663,0.659,3.1,0.644,11.6,1.2,0.8,1.4,1.7,3.0,13.4,18.9,0.675,16.3,7.8,0.7,1.4
13,Khris Middleton,MIL,37984276,SF,31,33,24.3,5.4,0.436,1.5,0.315,3.8,0.516,0.499,2.8,0.902,4.2,4.9,0.7,0.2,2.2,2.1,15.1,17.4,0.551,27.4,1.9,0.8,0.6
14,Anthony Davis,LAL,37980720,C,29,56,34.0,9.7,0.563,0.3,0.257,9.3,0.589,0.573,6.2,0.784,12.5,2.6,1.1,2.0,2.2,2.6,25.9,27.8,0.627,28.4,9.0,6.3,4.0
15,Jimmy Butler,MIA,37653300,PF,33,64,33.4,7.5,0.539,0.6,0.35,6.9,0.564,0.56,7.4,0.85,5.9,5.3,1.8,0.3,1.6,1.3,22.9,27.6,0.647,25.6,12.3,8.7,5.8
16,Tobias Harris,PHI,37633050,SF,30,74,32.9,5.7,0.501,1.7,0.389,4.0,0.57,0.575,1.5,0.876,5.7,2.5,0.9,0.5,1.2,2.0,14.7,14.8,0.602,18.2,5.9,0.7,1.7
17,Kemba Walker,DAL,37281261,PG,32,9,16.0,2.7,0.421,0.8,0.25,1.9,0.586,0.482,1.9,0.81,1.8,2.1,0.2,0.2,0.4,1.2,8.0,15.0,0.543,22.1,0.3,-0.3,0.1
18,Trae Young,ATL,37096500,PG,24,73,34.8,8.2,0.429,2.1,0.335,6.1,0.476,0.485,7.8,0.886,3.0,10.2,1.1,0.1,4.1,1.4,26.2,22.0,0.573,32.6,6.7,3.3,3.4
19,Zach LaVine,CHI,37096500,SG,27,77,35.9,8.7,0.485,2.6,0.375,6.1,0.556,0.558,4.7,0.848,4.5,4.2,0.9,0.2,2.5,2.1,24.8,19.0,0.607,28.3,7.1,1.9,2.7
20,Ben Simmons,BRK,35448672,PG,26,42,26.3,3.2,0.566,0.0,0.0,3.2,0.571,0.566,0.6,0.439,6.3,6.1,1.3,0.6,2.3,3.3,6.9,13.4,0.559,14.3,2.2,0.4,0.7
21,Pascal Siakam,TOR,35448672,PF,28,71,37.4,8.9,0.48,1.3,0.324,7.6,0.523,0.515,5.2,0.774,7.8,5.8,0.9,0.5,2.4,3.2,24.2,20.3,0.565,27.2,7.8,3.1,3.4
22,Myles Turner,IND,35096500,C,26,62,29.4,6.5,0.548,1.5,0.373,5.0,0.638,0.612,3.5,0.783,7.5,1.4,0.6,2.3,1.7,3.5,18.0,20.0,0.651,22.0,5.4,2.1,1.9
23,Jrue Holiday,MIL,34319520,PG,32,67,32.6,7.3,0.479,2.4,0.384,5.0,0.542,0.556,2.3,0.859,5.1,7.4,1.2,0.4,2.9,1.7,19.3,19.2,0.586,25.0,6.7,3.1,2.8
24,Karl-Anthony Towns,MIN,33833400,PF,27,29,33.0,7.3,0.495,2.1,0.366,5.2,0.576,0.565,4.1,0.874,8.1,4.8,0.7,0.6,3.0,3.8,20.8,18.8,0.618,25.6,2.7,3.0,1.2
25,Devin Booker,PHO,33833400,SG,26,53,34.6,9.9,0.494,2.1,0.351,7.8,0.554,0.546,5.8,0.855,4.5,5.5,1.0,0.3,2.7,3.0,27.8,22.0,0.601,31.8,6.0,4.2,2.9
26,Andrew Wiggins,GSW,33616770,SF,27,37,32.2,6.8,0.473,2.4,0.396,4.4,0.53,0.557,1.2,0.611,5.0,2.3,1.2,0.8,1.3,2.9,17.1,14.7,0.564,21.5,2.3,-0.5,0.5
27,Joel Embiid,PHI,33616770,C,28,66,34.6,11.0,0.548,1.0,0.33,10.0,0.587,0.573,10.0,0.857,10.2,4.2,1.0,1.7,3.4,3.1,33.1,31.4,0.655,37.0,12.3,9.2,6.4
28,CJ McCollum,NOP,33333333,SG,31,75,35.3,7.8,0.437,2.8,0.389,5.0,0.469,0.515,2.4,0.769,4.4,5.7,0.9,0.5,2.4,2.0,20.9,15.6,0.541,26.4,4.3,0.8,1.9
29,James Harden,PHI,33000000,PG,33,58,36.8,6.4,0.441,2.8,0.385,3.6,0.495,0.536,5.4,0.867,6.1,10.7,1.2,0.5,3.4,1.9,21.0,21.6,0.607,25.0,8.4,5.4,4.0
30,Jamal Murray,DEN,31650600,PG,25,65,32.8,7.3,0.454,2.6,0.398,4.6,0.494,0.537,2.8,0.833,4.0,6.2,1.0,0.2,2.2,1.6,20.0,18.0,0.571,26.1,5.1,1.3,1.8
31,Brandon Ingram,NOP,31650600,SF,25,45,34.2,9.0,0.484,1.4,0.39,7.6,0.507,0.522,5.3,0.882,5.5,5.8,0.7,0.4,3.3,2.6,24.7,19.2,0.582,30.8,3.5,1.7,1.4
32,D'Angelo Russell,LAL/MIN,31377750,PG,26,71,32.5,6.3,0.469,2.7,0.396,3.5,0.548,0.572,2.5,0.829,3.0,6.2,1.0,0.4,2.6,2.0,17.8,16.3,0.605,22.7,5.1,1.5,2.0
33,Donovan Mitchell,CLE,30913750,SG,26,68,35.8,10.0,0.484,3.6,0.386,6.4,0.566,0.572,4.7,0.867,4.3,4.4,1.5,0.4,2.6,2.5,28.3,22.9,0.614,32.1,8.9,6.3,5.0
34,Shai Gilgeous-Alexander,OKC,30913750,PG,24,68,35.5,10.4,0.51,0.9,0.345,9.5,0.533,0.531,9.8,0.905,4.8,5.5,1.6,1.0,2.8,2.8,31.4,27.2,0.626,32.8,11.4,7.3,5.6
35,Deandre Ayton,PHO,30913750,C,24,67,30.4,7.8,0.589,0.1,0.292,7.7,0.597,0.592,2.3,0.76,10.0,1.7,0.6,0.8,1.8,2.8,18.0,19.9,0.617,22.9,6.2,0.9,1.5
36,Kevin Love,CLE/MIA,30556968,PF,34,62,20.0,2.7,0.389,1.6,0.334,1.1,0.516,0.506,1.3,0.879,6.4,1.9,0.3,0.2,1.1,1.6,8.2,13.1,0.548,19.2,2.6,0.6,0.8
37,Jayson Tatum,BOS,30351780,SF,24,74,36.9,9.8,0.466,3.2,0.35,6.6,0.558,0.543,7.2,0.854,8.8,4.6,1.1,0.7,2.9,2.2,30.1,23.7,0.607,32.7,10.5,5.5,5.1
38,Bam Adebayo,MIA,30351780,C,25,75,34.6,8.0,0.54,0.0,0.083,8.0,0.545,0.541,4.3,0.806,9.2,3.2,1.2,0.8,2.5,2.8,20.4,20.1,0.592,25.2,7.4,1.5,2.3
39,De'Aaron Fox,SAC,30351780,PG,25,73,33.4,9.3,0.512,1.6,0.324,7.7,0.584,0.557,4.7,0.78,4.2,6.1,1.1,0.3,2.5,2.4,25.0,21.8,0.599,30.1,7.4,2.5,2.7
40,Gordon Hayward,CHO,30075000,SF,32,50,31.5,5.5,0.475,1.0,0.325,4.5,0.532,0.52,2.6,0.811,4.3,4.1,0.8,0.2,2.0,1.4,14.7,13.5,0.563,20.0,2.0,-1.4,0.2
41,Jaylen Brown,BOS,29776785,SF,26,67,35.9,10.1,0.491,2.4,0.335,7.7,0.576,0.55,3.9,0.765,6.9,3.5,1.1,0.4,2.9,2.6,26.6,19.1,0.581,31.4,5.0,1.3,2.0
42,Chris Paul,PHO,28400000,PG,37,59,32.0,5.0,0.44,1.7,0.375,3.3,0.482,0.513,2.3,0.831,4.3,8.9,1.5,0.4,1.9,2.1,13.9,17.7,0.555,19.2,6.2,3.2,2.5
43,Kyle Lowry,MIA,28333334,PG,36,55,31.2,3.6,0.404,1.9,0.345,1.6,0.509,0.514,2.1,0.859,4.1,5.1,1.0,0.4,1.9,2.6,11.2,12.6,0.565,16.7,3.4,0.2,0.9
44,Jalen Brunson,NYK,27733332,PG,26,68,35.0,8.6,0.491,2.0,0.416,6.7,0.519,0.547,4.8,0.829,3.5,6.2,0.9,0.2,2.1,2.2,24.0,21.2,0.597,27.2,8.7,3.9,3.5
